fold,lgbm_auc,xgb_auc,cat_auc,rf_auc,et_auc
1,0.9692502564561324,0.9683992092643582,0.9680037403562014,0.963951707424627,0.9589301812415431
2,0.9688111099704044,0.9679640319060434,0.9676397898680228,0.9632348368060515,0.9585155361422637
3,0.9685530183762161,0.9677815656241596,0.9674563391120039,0.9632723018145265,0.9586869727986448
4,0.9691483289434324,0.9684511019752174,0.9681643372368203,0.9636364689116022,0.9592787000319353
5,0.96941977088684,0.9685529073657543,0.9683743694494759,0.9636583103246906,0.9593486374606918
